calculatedMeasurements_id,value,trait_id,standard_id,method_id,geno_id,filter_id,location_id,dataset_id
1,-2.04093034565267,47,93,19,27,2,1,6
2,-2.90648742401859,52,93,28,27,2,1,6
3,-2.9735885172179,21,93,26,27,2,1,6
4,41.8437370093458,51,77,21,27,2,1,6
5,3.60089330402313,50,83,21,27,2,1,6
6,-2.53356466160201,47,93,19,27,2,1,6
7,-5.7284981565774,52,93,28,27,2,1,6
8,-2.94932791678031,21,93,26,27,2,1,6
9,40.8755869444445,51,77,21,27,2,1,6
10,3.895629668953,50,83,21,27,2,1,6
11,-5.92631173854961,47,93,19,27,2,1,6
12,-2.11141764573856,52,93,28,27,2,1,6
13,-5.97649122765638,21,93,26,27,2,1,6
14,26.2573404672897,51,77,21,27,2,1,6
15,2.61665743774208,50,83,21,27,2,1,6
16,-3.30816249242919,47,93,19,27,2,1,6
17,-6.53882860808262,52,93,28,27,2,1,6
18,-3.73759956898141,21,93,26,27,2,1,6
19,35.045809906542,51,77,21,27,2,1,6
20,4.00302138564861,50,83,21,27,2,1,6
21,-3.3438921692939,47,93,19,27,3,1,6
22,-6.69670084631926,52,93,28,27,3,1,6
23,27.24965,51,77,21,27,3,1,6
24,2.29745557026396,50,83,21,27,3,1,6
25,-2.73865912924668,47,93,19,59,2,1,6
26,-6.10690893382937,52,93,28,59,2,1,6
27,-3.42064692629773,21,93,26,59,2,1,6
28,31.9686709259259,51,77,21,59,2,1,6
29,1.85184311992164,50,83,21,59,2,1,6
30,-3.21176997873523,47,93,19,58,3,1,6
31,-10.1149026804458,52,93,28,58,3,1,6
32,-5.68287946339363,21,93,26,58,3,1,6
33,30.1313457009346,51,77,21,58,3,1,6
34,1.91681887197217,50,83,21,58,3,1,6
35,-3.61413962941238,47,93,19,59,3,1,6
36,-11.3564873718878,52,93,28,59,3,1,6
37,-6.61464074055433,21,93,26,59,3,1,6
38,26.7047746296296,51,77,21,59,3,1,6
39,3.21103403254649,50,83,21,59,3,1,6
40,-3.31100347416272,47,93,19,59,3,1,6
41,-11.3564873718878,52,93,28,59,3,1,6
42,-3.88814693450599,21,93,26,59,3,1,6
43,26.6550997222222,51,77,21,59,3,1,6
44,3.18289186490467,50,83,21,59,3,1,6
45,-3.8966057362937,47,93,19,59,2,1,6
