filter_id,filters
1,"reef; ambient temperature; ambient pH"
2,"lab; Stress Hardening; Bleaching Stress; ambient pH"
3,"lab; Bleaching Stress; ambient pH"
4,"lab; ambient temperature; ambient pH"
5,"reef; Bleaching Stress; ambient pH"
6,"bn; ambient temperature; ambient pH"
7,"bn; Bleaching Stress; ambient pH"
8,"ln; Bleaching Stress; ambient pH"
9,"ln; ambient temperature; ambient pH"
10,"lab; ambient temperature; OA Stress"
11,"lab; Bleaching Stress; OA Stress"
12,"reef; ambient temperature; ambient pH; wet season"
13,"bn; Bleaching Stress; ambient pH; wet season"
14,"bn; ambient temperature; ambient pH; wet season"
15,"bn; ambient temperature; ambient pH; dry season"
16,"reef; ambient temperature; ambient pH; dry season"
17,"reef; Bleaching Stress; ambient pH; wet season"
18,"ln; Bleaching Stress; ambient pH; wet season"
19,"ln; ambient temperature; ambient pH; dry season"
20,"lab; Bleaching Stress; ambient pH; wet season"
21,"lab; ambient temperature; OA Stress; wet season"
22,"lab; ambient temperature; ambient pH; wet season"
23,"lab; Bleaching Stress; OA Stress; wet season"
24,"lab; ambient temperature; ambient pH; dry season"
28,"reef; wet season"
29,"bn; wet season"
30,"reef; dry season"
32,"ln; wet season"
33,"ln; dry season"
34,"lab; wet season"
35,"lab; dry season"
36,"ln; ambient temperature; ambient pH; wet season"
37,"lab; "
38,"reef; "
39,"bn; "
40,"ln; "
