"geno_name","source_lat","source_long","sexual_recruit","source_date","geno_definition","CSR_accession","mlg_id","geno_source","origin_nursery","microsat_id","mlg_geno_id","alt_names","geno_id"
"Acerv 1 (A-AC)",25.3391,-80.1926,0,"2009-01-01","SNP","5c98b2aa-b95c-d02c-1a8e-9732b437adf4","HG0949",NA,"University of Miami",NA,985,NA,1
"Acerv 2 (B-AC)",25.3129,-80.19882,0,"2009-01-01","SNP","c659553a-e522-d6a8-957d-ad46ea30d52a","HG0987",NA,"University of Miami",NA,996,NA,2
"Acerv 3 (C-AC)",25.30838,-80.20057,0,"2009-01-01","SNP","10051424-b078-44c9-3738-856e93701356","HG0948",NA,"University of Miami","C1263",986,NA,3
"Acerv 4 (D-AC)",25.31895,-80.1854,0,"2009-01-01","microsat","60c3c98c-e6f7-5779-6d64-a818f37aa854",NA,NA,"University of Miami","C1352",NA,NA,4
"Acerv 5 (E-AC)",25.31895,-80.1854,0,"2009-01-01",NA,"943c45b0-5db6-e5dc-fe6a-ee9f6edc1d67",NA,NA,"University of Miami",NA,NA,NA,5
"BC-1",26.1763,-80.08962,0,"2017-11-04",NA,"0ccf8581-fe36-a3a9-1d32-eeb28bf6e7c2",NA,NA,"University of Miami",NA,NA,NA,6
"BC-11",26.1763,-80.08962,0,"2017-11-04","SNP","1aa6c453-ff50-9f93-9c28-73e1715fb7cd","HG0968",NA,"University of Miami",NA,1001,NA,7
"BC-8A",26.18298,-80.08933,0,"2017-11-04",NA,"da4b435b-f7e3-a001-b9d9-4f8a8a8d4374",NA,NA,"University of Miami",NA,NA,NA,8
"BC-8B",26.18298,-80.08933,0,"2017-11-04","SNP","15248325-efd0-9a0a-6c45-669a867faa72","HG0960",NA,"University of Miami",NA,1000,NA,9
"BC-E",26.19802,-80.08747,0,"2018-07-09",NA,"4d152000-3436-340b-815d-cb8673f625e4",NA,NA,"University of Miami",NA,NA,NA,10
"BC-F",26.19802,-80.08747,0,"2018-07-09",NA,"b46e59b4-48fa-bdf2-1d27-955d21250c3e",NA,NA,"University of Miami",NA,NA,NA,11
"BC-G",26.19802,-80.08747,0,"2018-07-09",NA,"27d94ba8-b2d2-dd20-afa4-fa2ac2d99ba1",NA,NA,"University of Miami",NA,NA,NA,12
"BC-H",26.19802,-80.08747,0,"2018-07-09",NA,"c6501f50-afb4-24fe-125d-f7d9ff7cb44c",NA,NA,"University of Miami",NA,NA,NA,13
"Cheetos-B",25.32242,-80.18228,0,"2018-02-24","SNP","0de3d4d1-75ab-352d-a135-2e83fb6b9199","HG0974",NA,"University of Miami",NA,989,"CV FD",14
"Cooper's",25.50877,-80.12054,0,"2016-02-15","SNP","46f36817-7c86-2f92-1ca5-cd9bf45ce5fa","HG0949",NA,"University of Miami","C1350",985,NA,15
"ELK",25.36315,-80.1658,0,"2009-01-01","SNP","b1f4849a-edf0-3504-16d2-927ae3a93e87","HG0969",NA,"University of Miami",NA,988,NA,16
"Evan's-A",25.33351,-80.19932,0,"2019-04-15",NA,"726517f9-dfda-23cc-d5d9-4d921176ae00",NA,NA,"University of Miami",NA,NA,"Evan's-1",17
"Evan's-B",25.33351,-80.19932,0,"2019-04-15",NA,"ccfba41c-022f-fc2a-bdab-c878449e7087",NA,NA,"University of Miami",NA,NA,"Evan's-2",18
"Evan's-C",25.33351,-80.19932,0,"2019-04-15",NA,"4b7b2caa-1c7a-7e93-88da-a1742c1b6652",NA,NA,"University of Miami",NA,NA,"Evan's-3",19
"Inshore",25.46478,-80.15733,0,"2019-08-15",NA,"0a2c0470-6851-77f6-07c2-5ffa6eef22f9",NA,NA,"University of Miami",NA,NA,"FD-1196",20
"Jane's Reef",25.49438,-80.13874,0,"2019-08-14",NA,"0e37be87-f917-c034-b197-fd7ff3900693",NA,NA,"University of Miami",NA,NA,NA,21
"Kelsey-1",25.3889,-80.1627,0,"2017-04-24","SNP","6fe8f2ac-2cec-fa18-5a90-d8be4dae0fda","HG0956",NA,"University of Miami",NA,993,NA,22
