measurement_id,observation_id,value,trait_id,standard_id,method_id
1,2,308,6,26,7
1,26892,Kuff17-1,6,26,7
2,2,0,7,28,9
2,26892,4.267888307,31,79,5
3,2,12,10,48,5
3,26892,65.1,51,77,21
4,3,308,6,26,7
4,26892,1.09,3,25,27
5,3,3,7,28,9
5,26893,Kuff17-5,6,26,7
6,3,dead,9,26,12
6,26893,5.282862818,31,79,5
7,4,308,6,26,7
7,26893,63.4,51,77,21
8,4,4,7,28,9
8,26893,1.05,3,25,27
9,4,dead,9,26,12
9,26894,Kuff17-7,6,26,7
10,5,308,6,26,7
10,26894,2.173112452,31,79,5
11,5,5,7,28,9
11,26894,54.6,51,77,21
12,5,dead,9,26,12
12,26894,1.22,3,25,27
13,6,324,6,26,7
13,26895,Kuff17-31,6,26,7
14,6,0,7,28,9
14,26895,3.972424541,31,79,5
15,6,12,10,48,5
15,26895,74.7,51,77,21
16,7,324,6,26,7
16,26895,1.05,3,25,27
17,7,3,7,28,9
17,26896,Kuff17-38,6,26,7
18,7,29,10,48,5
18,26896,3.831334246,31,79,5
19,7,alive,9,26,12
19,26896,47.4,51,77,21
20,8,324,6,26,7
20,26896,1.09,3,25,27
21,8,4,7,28,9
21,26897,Kuff17-41,6,26,7
22,8,30,10,48,5
22,26897,4.637658026,31,79,5
23,8,alive,9,26,12
23,26897,55.4,51,77,21
24,9,324,6,26,7
24,26897,1.15,3,25,27
25,9,5,7,28,9
25,26898,Kuff17-43,6,26,7
26,9,30.5,10,48,5
26,26898,3.551925753,31,79,5
27,9,alive,9,26,12
27,26898,26.5,51,77,21
28,10,325,6,26,7
28,26898,1.1,3,25,27
29,10,0,7,28,9
29,26899,Kuff17-44,6,26,7
30,10,7.5,10,48,5
30,26899,3.372343702,31,79,5
31,11,325,6,26,7
31,26899,52.2,51,77,21
32,11,3,7,28,9
32,26899,1.09,3,25,27
33,11,dead,9,26,12
33,26900,Kuff17-56,6,26,7
34,12,325,6,26,7
34,26900,1.881290183,31,79,5
35,12,4,7,28,9
35,26900,27.3,51,77,21
36,12,dead,9,26,12
36,26900,1.09,3,25,27
37,13,325,6,26,7
37,26901,Kuff17-105,6,26,7
38,13,5,7,28,9
38,26901,3.310384631,31,79,5
39,13,dead,9,26,12
39,26901,50.6,51,77,21
40,14,329,6,26,7
40,26901,1.22,3,25,27
41,14,0,7,28,9
41,26902,Kuff17-110,6,26,7
42,14,6.5,10,48,5
42,26902,2.848844438,31,79,5
43,15,329,6,26,7
43,26902,55.4,51,77,21
44,15,3,7,28,9
44,26902,1.21,3,25,27
45,15,17,10,48,5
45,26903,Kuff17-303,6,26,7
46,15,alive,9,26,12
46,26903,3.488953097,31,79,5
47,16,329,6,26,7
47,26903,40.2,51,77,21
48,16,4,7,28,9
48,26903,1.35,3,25,27
49,16,7.5,10,48,5
49,26904,Kuff17-304,6,26,7
50,16,alive,9,26,12
50,26904,3.576442715,31,79,5
51,17,329,6,26,7
51,26904,52.2,51,77,21
52,17,5,7,28,9
52,26904,1.24,3,25,27
53,17,dead,9,26,12
53,26905,Kuff17-338,6,26,7
54,18,340,6,26,7
54,26905,2.426067572,31,79,5
55,18,0,7,28,9
55,26905,32.9,51,77,21
56,18,7,10,48,5
56,26905,1.13,3,25,27
57,19,340,6,26,7
57,26906,Kuff17-351,6,26,7
58,19,3,7,28,9
58,26906,1.791557592,31,79,5
59,19,18.5,10,48,5
59,26906,30.5,51,77,21
60,19,alive,9,26,12
60,26906,1.23,3,25,27
61,20,340,6,26,7
61,26907,Kuff17-352,6,26,7
62,20,4,7,28,9
62,26907,4.499500528,31,79,5
63,20,16.5,10,48,5
63,26907,48.2,51,77,21
64,20,alive,9,26,12
64,26907,1.24,3,25,27
65,21,340,6,26,7
65,26908,Kuff17-356,6,26,7
66,21,5,7,28,9
66,26908,2.259304155,31,79,5
67,21,dead,9,26,12
67,26908,32.9,51,77,21
68,22,354,6,26,7
68,26908,1.45,3,25,27
69,22,0,7,28,9
69,26909,Kuff17-357,6,26,7
70,22,8,10,48,5
70,26909,3.291870176,31,79,5
71,23,354,6,26,7
71,26909,35.3,51,77,21
72,23,3,7,28,9
72,26909,1.21,3,25,27
73,23,10.5,10,48,5
73,26910,Kuff17-359,6,26,7
74,23,alive,9,26,12
74,26910,3.520253513,31,79,5
75,24,354,6,26,7
75,26910,18.5,51,77,21
76,24,4,7,28,9
76,26910,1.43,3,25,27
77,24,13.5,10,48,5
77,26911,Kuff17-360,6,26,7
78,24,alive,9,26,12
78,26911,4.028726826,31,79,5
79,25,354,6,26,7
79,26911,75.5,51,77,21
80,25,5,7,28,9
80,26911,1.17,3,25,27
81,25,16,10,48,5
81,26912,Kuff17-361,6,26,7
82,25,alive,9,26,12
82,26912,1.983634916,31,79,5
83,26,366,6,26,7
83,26912,54.6,51,77,21
84,26,0,7,28,9
84,26912,1.17,3,25,27
85,26,6,10,48,5
85,28822,0.505,37,12,29
86,27,366,6,26,7
86,28822,0.611,38,12,29
87,27,3,7,28,9
87,28823,0.69,37,12,29
88,27,5,10,48,5
88,28823,0.761,38,12,29
89,27,alive,9,26,12
89,28824,0.894,37,12,29
90,28,366,6,26,7
90,28824,1.06,38,12,29
91,28,4,7,28,9
91,28825,0.986,37,12,29
92,28,6.5,10,48,5
92,28825,1.594,38,12,29
93,28,alive,9,26,12
93,28826,1.003,37,12,29
94,29,366,6,26,7
94,28826,0.973,38,12,29
95,29,5,7,28,9
95,28827,0.496,37,12,29
96,29,dead,9,26,12
96,28827,0.578,38,12,29
97,30,374,6,26,7
97,28828,0.929,37,12,29
98,30,0,7,28,9
98,28828,0.87,38,12,29
99,30,9,10,48,5
99,28829,1.07,37,12,29
100,31,374,6,26,7
100,28829,1.458,38,12,29
101,31,3,7,28,9
101,28830,0.969,37,12,29
102,31,20.5,10,48,5
102,28830,1.251,38,12,29
103,31,alive,9,26,12
103,28831,0.663,37,12,29
104,32,374,6,26,7
104,28831,0.584,38,12,29
105,32,4,7,28,9
105,28832,0.598,37,12,29
106,32,27,10,48,5
106,28832,1.097,38,12,29
107,32,alive,9,26,12
107,28833,0.138,37,12,29
108,33,374,6,26,7
108,28833,0.808,38,12,29
109,33,5,7,28,9
109,28834,0.043,37,12,29
110,33,32.5,10,48,5
110,28834,0.13,38,12,29
111,33,alive,9,26,12
111,28835,-0.058,37,12,29
112,34,384,6,26,7
112,28835,0.141,38,12,29
113,34,0,7,28,9
113,28836,0.476,37,12,29
114,34,13,10,48,5
114,28836,0.54,38,12,29
115,35,384,6,26,7
115,28837,0.559,37,12,29
116,35,3,7,28,9
116,28837,0.752,38,12,29
117,35,dead,9,26,12
117,28838,0.217,37,12,29
118,36,384,6,26,7
118,28838,0.37,38,12,29
119,36,4,7,28,9
119,28839,0.043,37,12,29
120,36,dead,9,26,12
120,28839,0.079,38,12,29
121,37,384,6,26,7
121,28840,0.257,37,12,29
122,37,5,7,28,9
122,28840,0.523,38,12,29
123,37,dead,9,26,12
123,28841,0.154,37,12,29
124,38,394,6,26,7
124,28841,0.628,38,12,29
125,38,0,7,28,9
125,28842,0.318,37,12,29
126,38,5.5,10,48,5
126,28842,0.503,38,12,29
127,39,394,6,26,7
127,28843,0.116,37,12,29
128,39,3,7,28,9
128,28843,0.261,38,12,29
129,39,dead,9,26,12
129,28844,0.016,37,12,29
130,40,394,6,26,7
130,28844,0,38,12,29
131,40,4,7,28,9
131,28845,0.12,37,12,29
132,40,dead,9,26,12
132,28845,0.507,38,12,29
133,42,306,6,26,7
133,28846,0.284,37,12,29
134,42,0,7,28,9
134,28846,0.449,38,12,29
135,42,11,10,48,5
135,28847,0.167,37,12,29
136,43,306,6,26,7
136,28847,0.336,38,12,29
137,43,3,7,28,9
137,28848,0.453,37,12,29
138,43,26.5,10,48,5
138,28848,0.569,38,12,29
139,43,alive,9,26,12
139,28849,0.711,37,12,29
140,44,306,6,26,7
140,28849,0.724,38,12,29
141,44,4,7,28,9
141,28850,0.289,37,12,29
142,44,32.5,10,48,5
142,28850,0.574,38,12,29
143,44,alive,9,26,12
143,28851,-0.156,37,12,29
144,45,306,6,26,7
144,28851,0.13,38,12,29
145,45,5,7,28,9
145,28852,0.377,37,12,29
146,45,30,10,48,5
146,28852,0.825,38,12,29
147,45,alive,9,26,12
147,28853,0.189,37,12,29
148,46,312,6,26,7
148,28853,0.486,38,12,29
149,46,0,7,28,9
149,28854,-0.066,37,12,29
150,46,6.5,10,48,5
150,28854,0.273,38,12,29
151,47,312,6,26,7
151,28855,0.531,37,12,29
152,47,3,7,28,9
152,28855,0.582,38,12,29
153,47,12,10,48,5
153,28856,0.455,37,12,29
154,47,alive,9,26,12
154,28856,0.182,38,12,29
155,48,312,6,26,7
155,28857,-0.291,37,12,29
156,48,4,7,28,9
156,28857,-0.134,38,12,29
157,48,11.5,10,48,5
157,28858,0.819,37,12,29
158,48,alive,9,26,12
158,28858,0.582,38,12,29
159,49,312,6,26,7
159,28859,0.921,37,12,29
160,49,5,7,28,9
160,28859,0.88,38,12,29
161,49,12.5,10,48,5
161,28860,0.727,37,12,29
162,49,alive,9,26,12
162,28860,0.989,38,12,29
163,50,337,6,26,7
163,28861,0.411,37,12,29
164,50,0,7,28,9
164,28861,0.494,38,12,29
165,50,8,10,48,5
165,28862,0.793,37,12,29
166,51,337,6,26,7
166,28862,0.63,38,12,29
167,51,3,7,28,9
167,28863,0.576,37,12,29
168,51,dead,9,26,12
168,28863,0.807,38,12,29
169,52,337,6,26,7
169,28864,0.018,37,12,29
170,52,4,7,28,9
170,28864,0.311,38,12,29
171,52,dead,9,26,12
171,28865,0.518,37,12,29
172,53,337,6,26,7
172,28865,0.365,38,12,29
173,53,5,7,28,9
173,28866,0.352,37,12,29
174,53,dead,9,26,12
174,28866,0.487,38,12,29
175,54,338,6,26,7
175,28867,0.378,37,12,29
176,54,0,7,28,9
176,28867,1.114,38,12,29
177,54,14,10,48,5
177,28868,0.496,37,12,29
